"Alliance","Conservative","Democratic.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Ind36","Constituency","CV","FPTP","British.National","Green","Kidderminster.Hospital.and.Health.Concern","Labour","Legalise.Cannabis.Alliance","Liberal","Liberal.Democrat","Monster.Raving.Loony","People.s.Justice","Plaid.Cymru","ProLife.Alliance","Scottish.National","Scottish.Socialist","Socialist.Alliance","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind10"
0,0,0,0,0,0,0,0,"Romsey","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ross, Skye and Inverness West","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Rossendale and Darwen","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rother Valley","Labour","Labour",0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rotherham","Labour","Labour",0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Roxburgh and Berwickshire","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Rugby and Kenilworth","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Ruislip-Northwood","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000001,0,0,0,0,0,0,"Runnymede and Weybridge","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999998,0,0,0,0,0,0,"Rushcliffe","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999999,0,0,0,0,0,0,"Rutland and Melton","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ryedale","Liberal.Democrat","Conservative",0,0,0,0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999995,0,0,0,0,0,0,"Saffron Walden","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Salford","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Salisbury","Liberal.Democrat","Conservative",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Scarborough and Whitby","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Scunthorpe","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
