Constituency,Nation,Region,Electorate,Votes,Result,Con,Lab,LDem,SNP,PC,UKIP,Grn,Ind,Oth,DUP,SF,AP,SDLP,UUP,WP,PBPA,TUV,CISTA,Speaker
East Devon,England,South West,82369,60382,Hold,29306,6857,1468,,,1203,,21270,278,,,,,,,,,,
East Dunbartonshire,Scotland,Scotland,66300,51801,Gain,7563,7531,21023,15684,,,,,,,,,,,,,,,
East Ham,England,London,83928,56633,Hold,7241,47124,656,,,697,474,130,311,,,,,,,,,,
East Hampshire,England,South East,74151,55408,Hold,35263,9411,8403,,,,1760,571,,,,,,,,,,,
"East Kilbride, Strathaven & Lesmahagow",Scotland,Scotland,80442,54102,Hold,13704,17157,1590,21023,,628,,,,,,,,,,,,,
East Londonderry,Northern Ireland,Northern Ireland,67038,41030,,330,,,,,,,,,19723,10881,2538,4423,3135,,,,,
East Lothian,Scotland,Scotland,79093,55878,Gain,16540,20158,1738,17075,,,,367,,,,,,,,,,,
East Renfrewshire,Scotland,Scotland,70067,53738,Gain,21496,14346,1112,16784,,,,,,,,,,,,,,,
East Surrey,England,South East,82004,59203,Hold,35310,11396,6197,,,2227,1100,2973,,,,,,,,,,,
East Worthing & Shoreham,England,South East,75525,53117,Hold,25988,20882,2523,,,1444,1273,432,575,,,,,,,,,,
East Yorkshire,England,Yorkshire & Humber,81065,53956,Hold,31442,16436,2134,,,1986,943,,1015,,,,,,,,,,
Eastbourne,England,South East,78754,57420,Gain,25315,4671,26924,,,,510,,,,,,,,,,,,
Eastleigh,England,South East,81212,57280,Hold,28889,11454,14710,,,1477,750,,,,,,,,,,,,
Eddisbury,England,North West,70272,51319,Hold,29192,17250,2804,,,1109,785,,179,,,,,,,,,,
Edinburgh East,Scotland,Scotland,65896,43523,Hold,8081,15084,1849,18509,,,,,,,,,,,,,,,
Edinburgh North & Leith,Scotland,Scotland,79473,56552,Hold,15385,17618,2579,19243,,,1727,,,,,,,,,,,,
Edinburgh South,Scotland,Scotland,64553,47840,Hold,9428,26269,1388,10755,,,,,,,,,,,,,,,
Edinburgh South West,Scotland,Scotland,71178,49390,Hold,16478,13213,2124,17575,,,,,,,,,,,,,,,
Edinburgh West,Scotland,Scotland,71500,52795,Gain,11559,7876,18108,15120,,,,132,,,,,,,,,,,
Edmonton,England,London,65777,43678,Hold,10106,31221,858,,,860,633,,,,,,,,,,,,
Ellesmere Port & Neston,England,North West,68666,50939,Hold,18747,30137,892,,,821,342,,,,,,,,,,,,
Elmet & Rothwell,England,Yorkshire & Humber,80291,59542,Hold,32352,22547,2606,,,,995,1042,,,,,,,,,,,
Eltham,England,London,64474,46155,Hold,18832,25128,1457,,,,,,738,,,,,,,,,,
Enfield North,England,London,68076,48565,Hold,17930,28177,1036,,,848,574,,,,,,,,,,,,
"Enfield, Southgate",England,London,65210,48328,Gain,20634,24989,1925,,,,780,,,,,,,,,,,,
Epping Forest,England,East of England,74737,50779,Hold,31462,13219,2884,,,1871,1233,,110,,,,,,,,,,
Epsom & Ewell,England,South East,80029,59266,Hold,35313,14838,7401,,,,1714,,,,,,,,,,,,
Erewash,England,East Midlands,72995,49781,Hold,25939,21405,1243,,,,675,519,,,,,,,,,,,
Erith & Thamesmead,England,London,69724,44464,Hold,15571,25585,750,,,1728,507,80,243,,,,,,,,,,
Esher & Walton,England,South East,80938,59842,Hold,35071,11773,10374,,,1034,1074,198,318,,,,,,,,,,
Exeter,England,South West,77330,55356,Hold,18219,34336,1562,,,,1027,212,,,,,,,,,,,
Falkirk,Scotland,Scotland,82240,53809,Hold,14088,16029,1120,20952,,712,908,,,,,,,,,,,,
Fareham,England,South East,78837,57014,Hold,35915,14360,3896,,,1541,1302,,,,,,,,,,,,
Faversham & Mid Kent,England,South East,66425,49749,Hold,30390,12977,3249,,,1702,1431,,,,,,,,,,,,
Feltham & Heston,England,London,81714,53127,Hold,16859,32562,1387,,,1510,809,,,,,,,,,,,,
Fermanagh & South Tyrone,Northern Ireland,Northern Ireland,70601,53481,,,,,,,,423,,,,25230,886,2587,24355,,,,,
Filton & Bradley Stoke,England,South West,72483,50694,Hold,25331,21149,3052,,,,1162,,,,,,,,,,,,
Finchley & Golders Green,England,London,73329,52385,Hold,24599,22942,3463,,,462,919,,,,,,,,,,,,
Folkestone & Hythe,England,South East,86272,58761,Hold,32197,16786,4222,,,2565,2498,493,,,,,,,,,,,
Forest of Dean,England,South West,70898,51767,Hold,28096,18594,2029,,,1237,1241,570,,,,,,,,,,,
Foyle,Northern Ireland,Northern Ireland,70324,45965,,,,,,,,,,,7398,18256,847,18087,,,1377,,,
Fylde,England,North West,65937,46467,Hold,27334,15529,2341,,,,1263,,,,,,,,,,,,
Gainsborough,England,East Midlands,75893,51425,Hold,31790,14767,3630,,,,1238,,,,,,,,,,,,
Garston & Halewood,England,North West,75248,53522,Hold,9450,41599,1723,,,,750,,,,,,,,,,,,
Gateshead,England,North East,65186,42103,Hold,10076,27426,1709,,,2281,611,,,,,,,,,,,,
Gedling,England,East Midlands,71223,51682,Hold,22139,26833,1052,,,1143,515,,,,,,,,,,,,
Gillingham & Rainham,England,South East,72903,48868,Hold,27091,17661,1372,,,2097,520,,127,,,,,,,,,,
Glasgow Central,Scotland,Scotland,64346,35984,Hold,5014,13829,1045,16096,,,,,,,,,,,,,,,
Glasgow East,Scotland,Scotland,66242,36175,Hold,6816,13949,576,14024,,504,,158,148,,,,,,,,,,
Glasgow North,Scotland,Scotland,53862,33473,Hold,4935,11537,1153,12597,,,3251,,,,,,,,,,,,
Glasgow North East,Scotland,Scotland,59931,31775,Gain,4106,13637,637,13395,,,,,,,,,,,,,,,
Glasgow North West,Scotland,Scotland,63773,38844,Hold,7002,13947,1387,16508,,,,,,,,,,,,,,,
Glasgow South,Scotland,Scotland,69126,44550,Hold,8506,16285,1447,18312,,,,,,,,,,,,,,,
Glasgow South West,Scotland,Scotland,62991,35378,Hold,5524,14326,661,14386,,481,,,,,,,,,,,,,
Glenrothes,Scotland,Scotland,66378,40399,Hold,7876,14024,1208,17291,,,,,,,,,,,,,,,
Gloucester,England,South West,82965,54071,Hold,27208,21688,2716,,,1495,754,210,,,,,,,,,,,
Gordon,Scotland,Scotland,78531,53685,Gain,21861,6340,6230,19254,,,,,,,,,,,,,,,
Gosport,England,South East,74152,49481,Hold,30647,13436,2328,,,1790,1024,256,,,,,,,,,,,
Gower,Wales,Wales,62163,45576,Gain,19458,22727,931,,1669,642,,149,,,,,,,,,,,
Grantham & Stamford,England,East Midlands,81740,56593,Hold,35090,14996,3120,,,1745,782,860,,,,,,,,,,,
Gravesham,England,South East,72954,48997,Hold,27237,17890,1210,,,1742,723,195,,,,,,,,,,,
Great Grimsby,England,Yorkshire & Humber,61743,35521,Hold,14980,17545,954,,,1648,,394,,,,,,,,,,,
Great Yarmouth,England,East of England,71408,44146,Hold,23901,15928,987,,,2767,563,,,,,,,,,,,,
