Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,Anti-Corruption Forum,Asian League,British National,Chairman of Sunrise Radio,Christian Democratic,Christian Peoples' Alliance,Church of the Militant Elvis,Communist of Britain,Community Candidate Empowering Change,Conservative,Countryside,Defend The Welfare State Against Blairism,Democratic Unionist,Direct Customer Service,Extinction Club,Fancy Dress,Free,Green,Grey,Independent,Independent Socialist,Independent Vote For Yourself,Isle of Wight,Jam Wrestling,John Lillburne Democratic,Justice,Kidderminster Hospital and Health Concern,Labour,Left Alliance,Legalise Cannabis Alliance,Liberal,Liberal Democrat,Liberated,Low Excise Duty,Marxist,Mebyon Kernow,Monster Raving Loony,Muslim,National Front,New Britain,New Millennium Bean,Northern Ireland Unionist,"Pacifist for Peace, Justice, Cooperation, Environment",Pathfinders,Pensioner Coalition,People's Choice,People's Justice,Plaid Cymru,Pro-Euro Conservative,Progress Democratic Members Decide Policy,Progressive Unionist,ProLife Alliance,Qari,Rate Payers,Reform 2000,Reform UK,Residents and Motorists of Great Britain,Rock 'n' Roll Loony,Scottish Freedom Referendum,Scottish National,Scottish Socialist,Scottish Unionist,Sinn Fein,Social Democratic and Labour,Socialist,Socialist Alliance,Socialist Alternative,Socialist Labour,Stuckist,Tatton Group Independent,The Speaker,Third Way,Truth,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Unrepresented People's,Wessex Regionalists,Women For Life On Earth,Women's Coalition (NI),Workers',Workers' Revolutionary
,Hove,,2001,70889,41988,,,,,,,,,,,16082,,,,,,,196,1369,,60,,,,,,,,19253,,,316,3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,,,,,,,,,358,,,,,,,
,Huddersfield,,2001,64349,35383,,,,,,,,,,,8794,,,,,,,,1254,,,,,,,,,,18840,,,,5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,,208,,,,,,,613,,,,,,,
,Hull East,,2001,66473,30875,,,,,,,,,,,4276,,,,,,,,,,,,,,,,,,19938,,,,4613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,,,,,,,1218,,,,,,,
,Hull North,,2001,63022,28633,,,,,,,,,,,4902,,,,,,,,,,101,,,,,,,,16364,,478,,5643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,655,,,,,,,
,Hull West and Hessle,,2001,63077,28916,,,,,,,,,,,5929,,,,,,,,,,512,,,,,,,,16880,,,,4364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,,,,,,,878,,,,,,,
,Huntingdon,,2001,78604,49089,,,,,,,,,,,24507,,,,,,,,,,,,,,,,,,11211,,,,11715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656,,,,,,,
,Hyndburn,,2001,66445,38243,,,,,,,,,,,12681,,,,,,,,,,,,,,,,,,20900,,,,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,,,,,,,
,Ilford North,,2001,68893,40234,,,,,,,,,,,16313,,,,,,,,,,,,,,,,,,18428,,,,4717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,,,,,,,
,Ilford South,,2001,76025,41295,,,,,,,,,,,10622,,,,,,,,,,,,,,,,,,24619,,,,4647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407,,,,,,,
,"Inverness East, Nairn and Lochaber",,2001,67139,42461,,,,,,,,,,,5653,,,,,,,,,,,,,,,,,,15605,,,,9420,,,,,,,,,,,,,,,,,,,,,,,,,,,,10889,894,,,,,,,,,,,,,,,,,,,,,
,Ipswich,,2001,68198,38873,,,,,,,,,,,11871,,,,,,,,,,,,,,,,,,19952,,,,5904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,217,,,,,,,624,,,,,,,
,Isle of Wight,,2001,106305,63482,,,,,,,,,,,25223,,,,,,,,1279,,1423,,,1164,,,,,9676,,,,22397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,2106,,,,,,,
,Islington North,,2001,61970,30216,,,,,,,,,,,3249,,,,,,,,1876,,,,,,,,,,18699,,,,5741,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,512,,,,,,,,,,,,,,
,Islington South and Finsbury,,2001,59515,28206,,,,,,,,,,,3860,,,,,,,,,,267,,,,,,,,15217,,,,7937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,,,108,,,,,,,,,,,,,
,Islwyn,,2001,51230,31691,,,,,,,,,,,2543,,,,,,,,,,1263,,,,,,,,19505,,,,4196,,,,,,,,,,,,,,,,3767,,,,,,,,,,,,,,,,,,,,417,,,,,,,,,,,,,,
,Jarrow,,2001,63172,34479,,,,,,,,,,,5056,,,,,,,,,,391,,,,,,,,22777,,,,5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,,,,,,,,,,716,,,,,,,
,Keighley,,2001,68349,43333,,,,,,,,,,,16883,,,,,,,,,,,,,,,,,,20888,,,,4722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,
,Kensington and Chelsea,,2001,62007,28038,,,,,,,,,,,15270,,,,,,,,1158,,,,,,100,,,,6499,,,,4416,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,416,,,,,,,
,Kettering,,2001,79697,53752,,,,,,,,,,,23369,,,,,,,,,,,,,,,,,,24034,,,,5469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,,,
,Kilmarnock and Loudoun,,2001,61049,37665,,,,,,,,,,,3943,,,,,,,,,,,,,,,,,,19926,,,,3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,9592,1027,,,,,,,,,,,,,,,,,,,,,
,Kingston and Surbiton,,2001,72687,49093,,,,,,,,,,,13866,,,,,,,,572,,,,,,,,,,4302,,,,29542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,,,,438,,54,,,,,
,Kingswood,,2001,80531,52676,,,,,,,,,,,14941,,,,,,,,,,,,,,,,,,28903,,,,7747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,,,,,,,
,Kirkcaldy,,2001,51559,28157,,,,,,,,,,,3013,,,,,,,,,,,,,,,,,,15227,,,,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,6264,804,,,,,,,,,,,,,,,,,,,,,
,Knowsley North and Sefton East,,2001,70781,37517,,,,,,,,,,,6108,,,,,,,,,,356,,,,,,,,25035,,,,5173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,,,,,,,,,
,Knowsley South,,2001,70681,36590,,,,,,,,,,,4250,,,,,,,,,,446,,,,,,,,26071,,,,4755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,,,,,,,,,,,,,,
,Lagan Valley,,2001,72671,45941,7624,,,,,,,,,,,,,6164,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725,3462,,,,,,,,,,25966,,,,,,,,
,Lancashire West,,2001,72858,42971,,,,,,,,,,,13761,,,,,,,,,,523,,,,,,,,23404,,,,4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lancaster and Wyre,,2001,78964,52350,,,,,,,,,,,22075,,,,,,,,1595,,,,,,,,,,22556,,,,5383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,,,
,Leeds Central,,2001,65497,27306,,,,,,,,,,,3896,,,,,,,,,,,,,,,,,,18277,,,,3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,,,,,,,,,775,,,,,,,
,Leeds East,,2001,56400,29055,,,,,,,,,,,5647,,,,,,,,,,142,,,,,,,,18290,,,,3923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,,,,,,,634,,,,,,,
,Leeds North East,,2001,64123,39773,,,,,,,,,,,12451,,,,,,,,,,132,,,,,,,,19540,770,,,6325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,382,,,,,,,
,Leeds North West,,2001,72945,42451,,,,,,,,,,,12558,,,,,,,,,,,,,,,,,,17794,,,,11431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,
,Leeds West,,2001,64218,32094,,,,,,,,,,,5008,,,,,,,,2573,,,,,,,,,,19943,,,462,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,,,,,,,
,Leicester East,,2001,65527,40661,,,,772,,,,,,,9960,,,,,,,,,,701,,,,,,,,23402,,,,4989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,,,,,,,,,,,,,,
,Leicester South,,2001,72671,42142,,,,,,,,,,,9715,,,,,,,,1217,,,,,,,,,,22958,,,,7243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,333,,,,,,,
,Leicester West,,2001,65267,33219,,,,,,,,,,,8375,,,,,,,,1074,,,,,,,,,,18014,,,,5085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,,350,,,,,,,,,,,,,,
,Leicestershire North West,,2001,68414,45009,,,,,,,,,,,15274,,,,,,,,,,632,,,,,,,,23431,,,,4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,
,Leigh,,2001,71054,35298,,,,,,,,,,,6421,,,,,,,,,,,,,,,,,,22783,,,,4524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,750,,,,,,,
,Leominster,,2001,68695,46729,,,,,,,,,,,22879,,,,,,,,1690,,186,,,,,,,,7872,,,,12512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590,,,,,,,
,Lewes,,2001,66332,45433,,,,,,,,,,,15878,,,,,,,,,,,,,,,,,,3317,,,,25588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,
,Lewisham Deptford,,2001,62869,29107,,,,,,,,,,,3622,,,,,,,,1901,,,,,,,,,,18915,,,,3409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,,,,,,,,,,,,,,
,Lewisham East,,2001,58302,30040,,,,1005,,,,,,,7157,,,,,,,,,,,,,,,,,,16116,,,,4937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,,,,,,,,361,,,,,,,
,Lewisham West,,2001,60947,30815,,,,,,,,,,,6896,,,,,,,,,,472,,,,,,,,18816,,,,4146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,
,Leyton and Wanstead,,2001,61549,33718,,,,,,,,,,,6654,,,,,,,,1030,,,,,,,,,,19558,,,,5389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,,,,,,,,,378,,,,,,,
,Lichfield,,2001,63794,41680,,,,,,,,,,,20480,,,,,,,,,,,,,,,,,,16054,,,,4462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,,,,,,,
,Lincoln,,2001,66299,37125,,,,,,,,,,,11583,,,,,,,,,,,,,,,,,,20003,,,,4703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,,,,,,,
,Linlithgow,,2001,54599,31655,,,,,,,,,,,2836,,,,,,,,,,,,,,,,,,17207,,,,2628,,,,,,,,,,,,,,,,,,,,,,,,,,211,,8078,695,,,,,,,,,,,,,,,,,,,,,
,Liverpool Garston,,2001,65094,32651,,,,,,,,,,,5059,,,,,,,,,,,,,,,,,,20043,,,,7549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Riverside,,2001,74827,25503,,,,,,,,,,,2142,,,,,,,,,,,,,,,,,,18201,,,,4251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,,,,,,,,,,,,,,,,
,Liverpool Walton,,2001,66237,28458,,,,,,,,,,,1726,,,,,,,,,,,,,,,,,,22143,,,,4147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,,,,,,,
,Liverpool West Derby,,2001,67921,30907,,,,,,,,,,,2486,,,,,,,,,,,,,,,,,,20454,,,4601,3366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livingston,,2001,64850,36033,,,,,,,,,,,2995,,,,,,,,,,,,,,,,,,19108,,,,3969,,,,,,,,,,,,,,,,,,,,,,,,,,,,8492,1110,,,,,,,,,,,,,,359,,,,,,,
,Llanelli,,2001,58148,36198,,,,,,,,,,,3442,,,,,,,,515,,,,,,,,,,17586,,,,3065,,,,,,,,,,,,,,,,11183,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,
,Londonderry East,,2001,60276,39869,1625,,,,,,,,,,,,,12813,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6221,8298,,,,,,,,,,10912,,,,,,,,
,Loughborough,,2001,70077,44254,,,,,,,,,,,15638,,,,,,,,,,,,,,,,,,22016,,,,5667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933,,,,,,,
,Louth and Horncastle,,2001,71556,44460,,,,,,,,,,,21543,,,,,,,,,,,,,,,,,,13989,,,,8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ludlow,,2001,63053,43124,,,,,,,,,,,16990,,,,,,,,871,,,,,,,,,,5785,,,,18620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,,,,,,,
,Luton North,,2001,65998,39126,,,,,,,,,,,12210,,,,,,,,,,,,,,,,,,22187,,,,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,,,,,,,
,Luton South,,2001,68985,39351,,,,,,,,,,,11586,,,,,,,,798,,,,,,,,,,21719,,,,4292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,578,,,,,,,107
,Macclesfield,,2001,73123,45585,,,,,,,,,,,22284,,,,,,,,,,,,,,,,,,15084,,,,8217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maidenhead,,2001,68130,43318,,,,,,,,,,,19506,,,,,,,,,,,,,,,,,,6577,,,,16222,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,,,
,Maidstone and the Weald,,2001,74002,45577,,,,,,,,,,,22621,,,,,,,,,,611,,,,,,,,12303,,,,9064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,,,,,,,
,Makerfield,,2001,68457,34856,,,,,,,,,,,6129,,,,,,,,,,,,,,,,,,23879,,,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,,,,,,,,,,,,,,,,
,Maldon and Chelmsford East,,2001,69201,44100,,,,,,,,,,,21719,,,,,,,,987,,,,,,,,,,13257,,,,7002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135,,,,,,,
,Manchester Blackley,,2001,59111,26523,,456,,,,,,,,,3821,,,,,,,,,,,,,,,,,,18285,,,,3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,,485,,,,,,,,,,,,,,
,Manchester Central,,2001,66268,25928,,,,,,,,,,,2328,,,,,,,,1018,,,,,,,,,,17812,,,,4070,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,484,,,,,,,,,,,,,,
,Manchester Gorton,,2001,63834,27229,,,,,,,,,,,2705,,,,,,,,835,,,,,,,,,,17099,,,,5795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,462,,,,,,,
,Manchester Withington,,2001,67480,35050,,,,,,,,,,,5349,,,,,,,,1539,,,,,,,,,,19239,,,,7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208,,,,,,,,,,,,,,,,
,Mansfield,,2001,66748,36852,,,,,,,,,,,10012,,,,,,,,,,,,,,,,,,21050,,,,5790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medway,,2001,64930,38610,,,,,,,,,,,15134,,,,,,,,,,,,,,,,,,18914,,,,3604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,,,,,,,
,Meirionnydd Nant Conwy,,2001,33175,21068,,,,,,,,,,,3962,,,,,,,,,,,,,,,,,,4775,,,,1872,,,,,,,,,,,,,,,,10459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meriden,,2001,74439,44559,,,,,,,,,,,21246,,,,,,,,,,,,,,,,,,17462,,,,4941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,
,Merthyr Tydfil and Rhymney,,2001,55368,31684,,,,,,,,,,,2272,,,,,,,,,,1936,,,,,,,,19574,,,,2385,,,,,,,,,,,,,,,,4651,,,,174,,,,,,,,,,,,,,,,692,,,,,,,,,,,,,,
,Middlesbrough,,2001,67659,33717,,,,,,,,,,,6453,,,,,,,,,,,,,,,,,,22783,,,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3512,,392,,,,,,,,,,,,,,
,Middlesbrough South and East Cleveland,,2001,71485,43991,,,,,,,,,,,14970,,,,,,,,,,,,,,,,,,24321,,,,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midlothian,,2001,48625,28724,,,,,,,,,,,2748,,,,,,,,,,,,,,,,,,15145,,,,3686,,,,,,,,,,,,,,,,,,,,177,,,,,,,,6131,837,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes North East,,2001,75526,47094,,,,,,,,,,,17932,,,,,,,,,,,,,,,,,,19761,,,,8375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,,,,,,,
,Milton Keynes South West,,2001,76607,45384,,,,,,,,,,,15506,,,,,,,,957,,,,,,,,,,22484,,500,,4828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,,848,,,,,,,
,Mitcham and Morden,,2001,65671,37961,,,,642,,,,,,,9151,,,,,,,,926,,,,,,,,,,22936,,,,3820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,,,
,Mole Valley,,2001,67770,47072,,,,,,,,,,,23790,,,,,,,,,,,,,,,,,,7837,,,,13637,,,,,,,,,,,,,,,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,1333,,,,,,,
,Monmouth,,2001,62202,44462,,,,,,,,,,,18637,,,,,,,,,,,,,,,,,,19021,,,,5080,,,,,,,,,,,,,,,,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,656,,,,,,,
,Montgomeryshire,,2001,44243,28983,,,,,,,,,,,8085,,,,,,,,,,171,,,,,,,,3443,,,,14319,,,,,,,,,,,,,,,,1969,,,,210,,,,,,,,,,,,,,,,,,,,,,,786,,,,,,,
,Moray,,2001,58008,33223,,,,,,,,,,,7677,,,,,,,,,,802,,,,,,,,8332,,,,5224,,,,,,,,,,,,,,,,,,,,,,,,,,,,10076,821,,,,,,,,,,,,,,291,,,,,,,
,Morecambe and Lunesdale,,2001,68607,41655,,,,,,,,,,,15554,,,,,,,,703,,,,,,,,,,20646,,,,3817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,,,,,,,
,Morley and Rothwell,,2001,71815,38442,,,,,,,,,,,9829,,,,,,,,,,,,,,,,,,21919,,,,5446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,,,,,,,
,Motherwell and Wishaw,,2001,52418,29673,,,,,,,,,,,3155,,,,,,,,,,,,,,,,,,16681,,,,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,5725,1260,,,,,,,61,,,,,,,,,,,,,,
,Neath,,2001,56107,35020,,,,,,,,,,,3310,,,,,,,,,,,,,,,,,,21253,,,,3335,,,,,,,,,,,,,,,,6437,,,,202,,,,,,,,,,,,,,483,,,,,,,,,,,,,,,,
,New Forest East,,2001,66767,42178,,,,,,,,,,,17902,,,,,,,,,,,,,,,,,,9141,,,,14073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062,,,,,,,
,New Forest West,,2001,67806,44087,,,,,,,,,,,24575,,,,,,,,,,,,,,,,,,6481,,,,11384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,,,,,,,
,Newark,,2001,71089,45147,,,,,,,,,,,20983,,,,,,,,,,822,,,,,,,,16910,,,,5970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,,,,,,,,,,,,,,,,
,Newbury,,2001,75490,50807,,,,,,,,,,,22092,,,,,,,,,,,,,,,,,,3523,,,,24507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,
,Newcastle upon Tyne Central,,2001,65739,34870,,,,,,,,,,,7414,,,,,,,,,,,,,,,,,,19169,,,,7564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,,,,,,,,,,,,,,
,Newcastle upon Tyne East and Wallsend,,2001,67970,32694,,,,,,,,,126,,3873,,,,,,,,651,,563,,,,,,,,20642,,,,6419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,
,Newcastle upon Tyne North,,2001,61494,36368,,,,,,,,,,,7424,,,,,,,,,,,,,,,,,,21874,,,,7070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcastle-under-Lyme,,2001,63208,38674,,,,,,,,,,,10664,,,,,,,,,,773,,,,,,,,20650,,,,5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,,,,,
,Newport East,,2001,56118,31282,,,,,,,,,173,,7246,,,,,,,,,,,,,,,,,,17120,,,,4394,,,,,,,,,,,,,,,,1519,,,,,,,,,,,,,,,,,,,,420,,,,,,,410,,,,,,,
,Newport West,,2001,59742,35063,,,,278,,,,,,,9185,,,,,,,,,,,,,,,,,,18489,,,,4095,,,,,,,,,,,,,,,,2510,,,,,,,,,,,,,,,,,,,,,,,,,,,506,,,,,,,
,Newry and Armagh,,2001,72466,55621,,,,,,,,,,,,,,10795,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17209,20784,,,,,,,,,,6833,,,,,,,,
,Norfolk Mid,,2001,74911,52548,,,,,,,,,,,23519,,,,,,,,1118,,,,,,,,,,18957,,,,7621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333,,,,,,,
,Norfolk North,,2001,80061,56220,,,,,,,,,,,23495,,,,,,,,649,,,,,,,,,,7490,,,,23978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,,,,,,,
,Norfolk North West,,2001,77387,51203,,,,,,,,,,,24846,,,,,,,,,,,,,,,,,,21361,,,,4292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,,,,,,
,Norfolk South,,2001,82710,55929,,,,,,,,,,,23589,,,,,,,,1069,,,,,,,,,,13719,,,,16696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,,,,,,,
,Norfolk South West,,2001,83903,52949,,,,,,,,,,,27633,,,,,,,,,,,,,,,,,,18267,,,,5681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368,,,,,,,
,Normanton,,2001,65392,34155,,,,,,,,,,,9215,,,,,,,,,,,,,,,,,,19152,,,,4990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,,,,,,,,,,,,,,
,Northampton North,,2001,74124,41494,,,,,,,,,,,12614,,,,,,,,,,,,,,,,,,20507,,,,7363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,596,,,,,,,
,Northampton South,,2001,85271,51029,,,,,,,,,,,20997,,,,,,,,,,,,,,,,,,21882,,,,6355,362,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,1237,,,,,,,
,Northavon,,2001,78841,55758,,,,,,,,,,,19340,,,,,,,,,,,,,,,,,,6450,,,,29217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,,,,,,,
,Norwich North,,2001,74911,45614,,,,,,,,,,,15761,,,,,,,,797,,211,,,,,,,,21624,,,,6750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,,,,,,,
,Norwich South,,2001,65792,42592,,,,,,,,,,,10551,,,,,,,,1434,,,,,,,,,,19367,,620,,9640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,,,,,,,,,473,,,,,,,
,Nottingham East,,2001,65339,29731,,,,,,,,,,,7210,,,,,,,,,,,,,,,,,,17530,,,,3874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,,,,,,,,,,,,,,,,
,Nottingham North,,2001,64281,30042,,,,,,,,,,,7152,,,,,,,,,,,,,,,,,,19392,,,,3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,
,Nottingham South,,2001,73049,36605,,,,,,,,,,,9960,,,,,,,,,,,,,,,,,,19949,,,,6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,,,,,,,
,Nuneaton,,2001,72101,43312,,,,,,,,,,,15042,,,,,,,,,,,,,,,,,,22577,,,,4820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873,,,,,,,
,Ochil,,2001,57554,35303,,,,,,,,,,,4235,,,,,,,,,,,,,,,,,,16004,,,,3253,,,,,405,,,,,,,,,,,,,,,,,,,,,,,10655,751,,,,,,,,,,,,,,,,,,,,,
,Ogmore,,2001,52185,30353,,,,,,,,,,,3383,,,,,,,,,,,,,,,,,,18833,,,,3878,,,,,,,,,,,,,,,,4259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Old Bexley and Sidcup,,2001,67841,42133,,,,,,,,,,,19130,,,,,,,,,,,,,,,,,,15785,,,,5792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426,,,,,,,
,Oldham East and Saddleworth,,2001,74511,45420,,,,5091,,,,,,,7304,,,,,,,,,,,,,,,,,,17537,,,,14811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,
,Oldham West and Royton,,2001,69409,39962,,,,6552,,,,,,,7076,,,,,,,,918,,,,,,,,,,20441,,,,4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orkney and Shetland,,2001,31909,16733,,,,,,,,,,,3121,,,,,,,,,,,,,,,,,,3444,,,,6919,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473,776,,,,,,,,,,,,,,,,,,,,,
