Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Liberal,Conservative,Plaid Cymru,Social Democratic,Scottish National,Ulster Unionist,Alliance,The Workers' (NI),Democratic Unionist,Social Democratic and Labour,Sinn Fein,Green,Moderate Labour,Workers' Revolutionary,Independent,Independent Ulster Democratic Unionist,Communist of Great Britain,Independent Conservative,Red Front,Independent Labour,Independent NFFG,Independent Liberal,Ulster Popular Unionist,Independent Ulster Unionist,Monster Raving Loony,Fellowship,Humanist,Rainbow Alliance,Independent Green,Socialist of Great Britain,Northern Ireland Ecology,Independent Democrat,Orkney and Shetland Movement,British National,Independent CS,Speaker
,Leicestershire North West,,1987,70633,58520,20044,10034,27872,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,
,Leigh,,1987,69155,51267,30064,,13458,,7745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leominster,,1987,69577,54263,4444,17321,31396,,,,,,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,
,Lewes,,1987,73181,56355,4973,18396,32016,,,,,,,,,,970,,,,,,,,,,,,,,,,,,,,,,,,
,Lewisham Deptford,,1987,58151,37758,18724,,11953,,6513,,,,,,,,568,,,,,,,,,,,,,,,,,,,,,,,,
,Lewisham East,,1987,59627,44050,15059,,19873,,9118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lewisham West,,1987,62923,45465,17223,7247,20995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leyton,,1987,57662,40123,16536,11895,11692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lincoln,,1987,77049,58262,19614,,27097,,11319,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,
,Lindsey East,,1987,74027,55686,6206,20432,29048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Linlithgow,,1987,59542,46187,21869,,6828,,5840,11496,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,
,Littleborough and Saddleworth,,1987,66074,51151,13299,15825,22027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Broadgreen,,1987,63091,47890,0,17215,7413,,,,,,,,,,,,,,,,,,23262,,,,,,,,,,,,,,,,
,Liverpool Garston,,1987,61280,46387,24848,,11071,,10370,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Mossley Hill,,1987,60954,45803,17786,20012,8005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Riverside,,1987,53328,34834,25505,,4816,,3912,,,,,,,,,,,,,601,,,,,,,,,,,,,,,,,,,
,Liverpool Walton,,1987,73118,53807,34661,11408,7738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool West Derby,,1987,60522,44443,29021,,8525,,6897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livingston,,1987,56583,41944,19110,8005,7860,,,6969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Llanelli,,1987,63775,49879,29506,6714,8571,5088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Londonderry East,,1987,71031,48824,0,,,,,,29532,3237,935,,9375,5464,,,,,,,,,,,,,,,,,,,,281,,,,,
,Loughborough,,1987,73660,58369,14283,,31931,,11499,,,,,,,,656,,,,,,,,,,,,,,,,,,,,,,,,
,Ludlow,,1987,66187,51023,7724,15800,27499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luton North,,1987,74235,57587,15424,,30997,,11166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luton South,,1987,70850,53555,19647,9146,24762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Macclesfield,,1987,76093,58887,11563,14116,33208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maidstone,,1987,72987,55488,6935,18736,29100,,,,,,,,,,717,,,,,,,,,,,,,,,,,,,,,,,,
,Makerfield,,1987,70819,53660,30190,8838,14632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Blackley,,1987,58814,42871,22476,,12354,,8041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Central,,1987,62928,40239,27428,,7561,,5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Gorton,,1987,64243,45248,24615,9830,10550,,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,
,Manchester Withington,,1987,65343,50411,21650,9978,18259,,,,,,,,,,524,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Wythenshawe,,1987,58287,42044,23881,,12026,,5921,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,
,Mansfield,,1987,66764,52348,19610,,19554,,11604,,,,,,,,,1580,,,,,,,,,,,,,,,,,,,,,,,
,Medway,,1987,64103,46803,13960,,23889,,8450,,,,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,
,Meirionnydd Nant Conwy,,1987,32214,25969,4397,,7366,10392,3814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meriden,,1987,78444,57946,15115,,31935,,10896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merthyr Tydfil and Rhymney,,1987,58285,44405,33477,3573,5270,2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,,1987,60789,43130,25747,6594,10789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midlothian,,1987,60549,46739,22553,,8527,,10300,4947,,,,,,,412,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes,,1987,97041,74012,16111,,35396,,21695,,,,,,,,810,,,,,,,,,,,,,,,,,,,,,,,,
