Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Conservative,Liberal Democrat,Plaid Cymru,Independent,Scottish National,Liberal,Natural Law,Green,Ulster Unionist,Democratic Unionist,Alliance,Social Democratic and Labour,Sinn.Fein,Raving Loony Green Giant,Anti-Federalist League,Independent Conservative,Independent Ulster Unionist,The Workers' (NI),New Alliance of Great Britain,Labour and Trade Union,British National,Communist of Great Britain,National Front,Revolutionary Communist,Monster Raving Loony,Plaid Cymru/Green,Independent Labour,Islamic of Britain,Independent Ind SD,Irish Freedom Movement,Social Democratic,Workers' Revolutionary,Ulster Popular Unionist,Independent Green,Independent Democrat,Independent Socialist,Scottish Militant Labour,International Communist,Twenty First Century,Fellowship,Independent Nationalist,Rainbow Alliance,Socialist of Great Britain,Communist League,Corrective,Independent Liberal Democrat,Social Democrat,Speaker
,Ipswich,,1992,67289,54026,23680,23415,6159,,,,,181,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isle of Wight,,1992,99839,79633,4784,38163,36336,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Islington North,,1992,56814,37852,21742,8958,5732,,,,,,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Islington South and Finsbury,,1992,57060,40281,20586,9934,9387,,83,,,149,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,
,Islwyn,,1992,51082,41593,30908,6180,2352,,,,,,,,,,,,,,,,,,,,,,,547,1606,,,,,,,,,,,,,,,,,,,,,,
,Jarrow,,1992,62612,46613,28956,11049,6608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keighley,,1992,66379,54805,22387,25983,5793,,,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kensington,,1992,42129,30878,11992,15540,2770,,,,,90,415,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kent Mid,,1992,74460,59317,13984,33633,11476,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kettering,,1992,67854,56038,17961,29115,8962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kilmarnock and Loudoun,,1992,62043,49601,22210,9438,2722,,,15231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kincardine and Deeside,,1992,66169,52456,4795,22924,18429,,,5927,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kingston upon Thames,,1992,51078,40051,7748,20675,10522,,,,771,81,,,,,,,,42,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,
,Kingswood,,1992,71740,60145,26774,24404,8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kirkcaldy,,1992,51955,38853,17887,8476,3729,,,8761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knowsley North,,1992,48783,35505,27517,5114,1515,,,,1180,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knowsley South,,1992,62295,46552,31933,9922,4480,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lagan Valley,,1992,72708,48956,0,4423,,,,,,,,29772,,6207,4626,3346,,,,,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lancashire West,,1992,77463,63937,30120,28051,4884,,,,,336,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lancaster,,1992,58616,46255,18131,21084,6524,,,,,83,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Langbaurgh,,1992,79563,66087,28454,30018,7615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds Central,,1992,62059,38039,23673,8653,5713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds East,,1992,61720,43201,24929,12232,6040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds North East,,1992,64607,49500,18218,22462,8274,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds North West,,1992,69733,50557,13782,21750,14079,,,,427,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds South and Morley,,1992,63155,45809,23896,16524,5062,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds West,,1992,67074,47725,26310,12482,4252,,,,3980,,569,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,
,Leicester East,,1992,63435,49920,28123,16807,4043,,308,,,186,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leicester South,,1992,71120,53407,27934,18494,6271,,,,,154,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leicester West,,1992,65511,48260,22574,18596,6402,,,,,171,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leicestershire North West,,1992,72419,62361,27400,28379,6353,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leigh,,1992,70065,52564,32225,13398,6621,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leominster,,1992,70874,57903,6874,32783,16103,,,,,,1503,,,,,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lewes,,1992,73918,60473,5758,33042,20867,,,,,87,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lewisham Deptford,,1992,57062,37091,22574,10336,4181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lewisham East,,1992,57725,43130,19576,18481,4877,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lewisham West,,1992,59372,43367,20378,18569,4295,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leyton,,1992,57272,38625,20334,8882,8180,,,,561,256,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lincoln,,1992,78944,62454,26743,28792,6316,,,,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lindsey East,,1992,80027,62481,9477,31916,20070,,,,,,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
