Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,British National,Christian Democratic,Communist of Britain,Conservative,Democratic Unionist,Fellowship,Green,Humanist,Independent,Labour,Liberal,Liberal Democrat,Loyal Conservative,Mebyon Kernow,Monster Raving Loony,National Democratic Resistance,National Front,Natural Law,People's Labour,Plaid Cymru,Progressive Unionist,Rainbow Dream Ticket,Referendum,Scottish National,Scottish Socialist Alliance,Sinn.Fein,Social Democratic and Labour,Socialist,Socialist Labour,The Speaker,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Workers',Workers' Revolutionary
,Lancaster and Wyre,,1997,78168,58862,,,,,23878,,,795,,,25173,,6802,,,,,,,,,,,1516,,,,,,,,,698,,,
,Leeds Central,,1997,67664,37009,,,,,5077,,,,,,25766,,4164,,,,,,,,,,,1042,,,,,304,656,,,,,,
,Leeds East,,1997,56963,35792,,,,,6685,,,,,,24151,,3689,,,,,,,,,,,1267,,,,,,,,,,,,
,Leeds North East,,1997,63185,45509,,,,,15409,,,,,,22368,,6318,,,,,,,,,,,946,,,,,,468,,,,,,
,Leeds North West,,1997,69972,49376,,,,,15850,,,,,232,19694,,11689,,,,,,,251,,,,1325,,,,,,335,,,,,,
,Leeds West,,1997,63965,40220,,,,,7048,,,896,,,26819,625,3622,,,,,,,,,,,1210,,,,,,,,,,,,
,Leicester East,,1997,64012,44402,,,,,10661,,,,,102,29083,,3105,,,,,,,,,,,1015,,,,,,436,,,,,,
,Leicester South,,1997,71750,48114,,,,,11421,,,,,,27914,,6654,,,,307,,,,,,,1184,,,,,,634,,,,,,
,Leicester West,,1997,64570,40914,,302,,,9716,,,586,,,22580,,5795,,,,186,,,,,,,970,,,,,327,452,,,,,,
,Leicestershire North West,,1997,65069,52025,,,,,16113,,,,,,29332,,4492,,,,,,,,,,,2088,,,,,,,,,,,,
,Leigh,,1997,69908,45920,,,,,7156,,,,,,31652,,5163,,,,,,,,,,,1949,,,,,,,,,,,,
,Leominster,,1997,65993,50553,,292,,,22888,,,1086,,,8831,,14053,,,,,,,,,,,2815,,,,,,,,,588,,,
,Lewes,,1997,64340,49169,,,,,19950,,,,,,5232,,21250,,,,,,,,,,,2481,,,,,,,,,256,,,
,Lewisham Deptford,,1997,58141,33644,,,,,4949,,,,,,23827,,3004,,,,,,,,,,,868,,,,,,996,,,,,,
,Lewisham East,,1997,56333,37408,,,,,9694,,,,,,21821,277,4178,,,,,431,,,,,97,910,,,,,,,,,,,,
,Lewisham West,,1997,58659,37564,,,,,8956,,,,,,23273,167,3672,,,,,,,,,,,1098,,,,,,398,,,,,,
,Leyton and Wanstead,,1997,62176,39322,,,,,8736,,,,,256,23922,,5920,,,,,,,488,,,,,,,,,,,,,,,,
,Lichfield,,1997,62720,48593,,,,,20853,,,,,,20615,,5473,,,,,,,,,,,1652,,,,,,,,,,,,
,Lincoln,,1997,65485,46548,,,,,14433,,,,,,25563,,5048,,,,,,175,,,,,1329,,,,,,,,,,,,
,Linlithgow,,1997,53706,39654,,,,,4964,,,,,,21469,,2331,,,,,,,,,,,259,10631,,,,,,,,,,,
,Liverpool Garston,,1997,66755,43482,,,,,6819,,,,,120,26667,666,8250,,,,,,127,,,,,833,,,,,,,,,,,,
,Liverpool Riverside,,1997,73429,38135,,,,,3635,,,,,179,26858,594,5059,,,,,,171,277,,,,586,,,,,776,,,,,,,
,Liverpool Walton,,1997,67527,40207,,,,,2551,,,,,,31516,352,4478,,,,,,,246,,,,620,,,,,444,,,,,,,
,Liverpool West Derby,,1997,68682,42157,,,,,3656,,,,,,30002,4037,3805,,,,,,,,,,,657,,,,,,,,,,,,
,Livingston,,1997,60296,42834,,,,,4028,,,,,,23510,,2876,,,,,,,,,,,444,11763,,,,213,,,,,,,
,Llanelli,,1997,58323,41211,,,,,5003,,,,,,23851,,3788,,,,,,,,7812,,,,,,,,,757,,,,,,
,Londonderry East,,1997,58831,38102,2427,,,,436,9764,,,,,0,,,,,,81,,100,,,,,,,,3463,8273,,,,13558,,,,
,Loughborough,,1997,68945,52365,,,,,19736,,,,,,25448,,6190,,,,,,,,,,,991,,,,,,,,,,,,
,Louth and Horncastle,,1997,68824,49953,,,,,21699,,,1248,,,14799,,12207,,,,,,,,,,,,,,,,,,,,,,,
,Ludlow,,1997,61267,46285,,,,,19633,,,798,,,11745,,13724,,,,,,,,,,,,,,,,,,,,385,,,
,Luton North,,1997,64618,47332,,,,,16234,,,,,,25860,,4299,,,,,,250,,,,,,,,,,,,,,689,,,
,Luton South,,1997,68395,48184,,,,,15109,,,356,,,26428,,4610,,,,,,86,,,,,1205,,,,,,,,,390,,,
,Macclesfield,,1997,72049,54197,,,,,26888,,,,,,18234,,9075,,,,,,,,,,,,,,,,,,,,,,,
,Maidenhead,,1997,67302,50889,,,,,25344,,,,,166,9205,896,13363,,,,,,,,,,,1638,,,,,,,,,277,,,
